from,to,time,,,,,,,
moe,mrs,1802,,,,,,,
moe,bat,1802,,,,,,,
moe,aba,1802,,,,,,,
moe,tim,1803,,,,,,,
moe,aba,1803,,,,,,,
moe,sha,1803,,,,,,,
moe,mrs,1804,,,,,,,
moe,msp,1804,,,,,,,
moe,dh,1804,,,,,,,
moe,sag,1804,,,,,,,
moe,mrs,1804,,,,,,,
moe,sha,1805,,,,,,,
perv,mrs,1802,,,,,,,
perv,pag,1802,,,,,,,
perv,mlc,1802,,,,,,,
perv,waa,1802,,,,,,,
perv,sha,1803,,,,,,,
perv,waa,1805,,,,,,,
perv,mlc,1805,,,,,,,
perv,sha,1805,,,,,,,
toh,cgh,1802,,,,,,,
toh,cta,1803,,,,,,,
toh,sha,1803,,,,,,,
toh,mda,1804,,,,,,,
toh,dh,1804,,,,,,,
toh,bc,1805,,,,,,,
toh,sha,1805,,,,,,,
an,mrs,1802,,,,,,,
an,cta,1802,,,,,,,
an,kge,1802,,,,,,,
an,sha,1802,,,,,,,
an,mrs,1804,,,,,,,
an,bmb,1804,,,,,,,
an,sha,1804,,,,,,,
an,ck,1805,,,,,,,
an,mda,1805,,,,,,,
an,fdn,1805,,,,,,,
atl,ck,1801,,,,,,,
atl,rdj,1802,,,,,,,
atl,cgh,1802,,,,,,,
atl,cov,1802,,,,,,,
atl,waa,1802,,,,,,,
atl,sha,1803,,,,,,,
nhp,mda,1801,,,,,,,
nhp,bmb,1802,,,,,,,
nhp,srt,1802,,,,,,,
nhp,bmb,1802,,,,,,,
nhp,cta,1802,,,,,,,
nhp,sha,1803,,,,,,,
nhp,rdj,1803,,,,,,,
nhp,cta,1804,,,,,,,
nhp,dh,1804,,,,,,,
nhp,bng,1804,,,,,,,
nhp,sha,1804,,,,,,,
acl,mrs,1802,,,,,,,
acl,pag,1802,,,,,,,
acl,mlc,1802,,,,,,,
acl,waa,1802,,,,,,,
acl,sha,1803,,,,,,,
acl,rdj,1804,,,,,,,
acl,nfl,1804,,,,,,,
acl,waa,1805,,,,,,,
acl,mlc,1805,,,,,,,
acl,sha,1805,,,,,,,
bar,mda,1802,,,,,,,
bar,mrs,1802,,,,,,,
bar,dh,1802,,,,,,,
bar,sag,1803,,,,,,,
bar,mrs,1803,,,,,,,
bar,sha,1803,,,,,,,
bar,ck,1803,,,,,,,
bar,mrs,1804,,,,,,,
bel,kge,1805,,,,,,,
bel,sha,1805,,,,,,,
harr,cta,1803,,,,,,,
harr,kge,1803,,,,,,,
harr,sag,1803,,,,,,,
harr,sha,1804,,,,,,,
harr,mda,1804,,,,,,,
harr,mrs,1805,,,,,,,
harr,cta,1805,,,,,,,
harr,dh,1805,,,,,,,
harr,sha,1805,,,,,,,
harr,sag,1805,,,,,,,
swb,cgh,1802,,,,,,,
swb,cta,1802,,,,,,,
swb,bng,1802,,,,,,,
